Rank,Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC,ModelType
1,XGBoost,S1_All_WithDuration,No,0.9096538759261308,0.6643929058663028,0.4603024574669187,0.5438302624232273,0.927864568845413,Advanced
2,XGBoost,S1_All_WithDuration,Yes,0.8924029636182683,0.5314116777531411,0.6795841209829868,0.5964330153463293,0.9197478613610348,Advanced
3,Random Forest,S1_All_WithDuration,No,0.8970474400088466,0.7490196078431373,0.1805293005671077,0.2909367859862909,0.919579007425312,Advanced
4,Random Forest,S1_All_WithDuration,Yes,0.8573482251465222,0.4393305439330544,0.7939508506616257,0.5656565656565656,0.912491580977092,Advanced
5,Logistic Regression,S1_All_WithDuration,Yes,0.8458476169412805,0.4178082191780822,0.8071833648393195,0.5506125080593166,0.9066130611153002,Baseline
6,Ridge (L2),S1_All_WithDuration,Yes,0.8458476169412805,0.4178082191780822,0.8071833648393195,0.5506125080593166,0.9066130611153002,Baseline
7,Lasso (L1),S1_All_WithDuration,Yes,0.8455158686276678,0.4171958964338055,0.8071833648393195,0.5500805152979066,0.9065637010794104,Baseline
8,Logistic Regression,S1_All_WithDuration,No,0.9014707508570164,0.6467486818980668,0.3478260869565217,0.4523663183773816,0.9058328884617072,Baseline
9,Ridge (L2),S1_All_WithDuration,No,0.9014707508570164,0.6467486818980668,0.3478260869565217,0.4523663183773816,0.9058328884617072,Baseline
10,Lasso (L1),S1_All_WithDuration,No,0.9015813336282208,0.6473684210526316,0.3487712665406427,0.4533169533169533,0.905824720973754,Baseline
11,Decision Tree,S1_All_WithDuration,No,0.900807254229791,0.6074766355140186,0.4300567107750472,0.5035971223021583,0.8862180151110364,Baseline
12,Decision Tree,S1_All_WithDuration,Yes,0.8374433263297578,0.4000969932104752,0.779773156899811,0.5288461538461539,0.876402943610006,Baseline
13,KNN,S1_All_WithDuration,Yes,0.833020015481588,0.3875621890547264,0.7362948960302458,0.5078226857887875,0.8436933972370217,Advanced
14,KNN,S1_All_WithDuration,No,0.8947252018135574,0.5825545171339563,0.3534971644612476,0.44,0.8257061621921065,Advanced
15,XGBoost,S2_Realistic_NoDuration,No,0.8964945261528254,0.6694444444444444,0.2277882797731569,0.3399153737658674,0.7939795552388517,Advanced
16,Random Forest,S2_Realistic_NoDuration,No,0.8942828707287405,0.7090163934426229,0.16351606805293,0.2657450076804915,0.7912217851761277,Advanced
17,Random Forest,S2_Realistic_NoDuration,Yes,0.840207895609864,0.3729481286933683,0.5368620037807184,0.440139480821387,0.7794436757010131,Advanced
18,Lasso (L1),S2_Realistic_NoDuration,No,0.8935087913303107,0.6643598615916955,0.1814744801512287,0.2850779510022271,0.772405668473378,Baseline
19,Ridge (L2),S2_Realistic_NoDuration,No,0.8932876257879022,0.6608996539792388,0.1805293005671077,0.2835931700074239,0.7723703943949726,Baseline
20,Logistic Regression,S2_Realistic_NoDuration,No,0.8932876257879022,0.6608996539792388,0.1805293005671077,0.2835931700074239,0.7723703943949726,Baseline
21,XGBoost,S2_Realistic_NoDuration,Yes,0.8875373216852814,0.5276653171390013,0.3695652173913043,0.4346859366314619,0.7711572265104821,Advanced
22,Lasso (L1),S2_Realistic_NoDuration,Yes,0.7461019573150504,0.2589563862928349,0.6285444234404537,0.3667953667953668,0.76696233367621,Baseline
23,Logistic Regression,S2_Realistic_NoDuration,Yes,0.7466548711710715,0.2602100350058343,0.6323251417769377,0.3686966106365389,0.766885156833524,Baseline
24,Ridge (L2),S2_Realistic_NoDuration,Yes,0.7466548711710715,0.2602100350058343,0.6323251417769377,0.3686966106365389,0.766885156833524,Baseline
25,Decision Tree,S2_Realistic_NoDuration,No,0.8935087913303107,0.6392961876832844,0.2060491493383743,0.311651179413867,0.7518401705466181,Baseline
26,Decision Tree,S2_Realistic_NoDuration,Yes,0.8544730730952118,0.395631067961165,0.4621928166351607,0.4263295553618134,0.7477685002479838,Baseline
27,SVM (RBF),S1_All_WithDuration,No,0.8017250912307863,0.2784810126582278,0.4366729678638941,0.340080971659919,0.7244003110747586,Advanced
28,Random Forest,S3_DemographicsOnly,No,0.8823399314386818,0.3333333333333333,0.0056710775047258,0.0111524163568773,0.7049923474188963,Advanced
29,KNN,S2_Realistic_NoDuration,Yes,0.7367024217626894,0.2388472167390446,0.5718336483931947,0.3369534948482316,0.7035213118169346,Advanced
30,XGBoost,S3_DemographicsOnly,No,0.8822293486674776,0.4477611940298507,0.0283553875236294,0.0533333333333333,0.7030462954523664,Advanced
31,KNN,S2_Realistic_NoDuration,No,0.8865420767444432,0.5384615384615384,0.2117202268431001,0.3039348710990502,0.7000381741284756,Advanced
32,Random Forest,S3_DemographicsOnly,Yes,0.7197832577684397,0.2246268656716417,0.5689981096408318,0.3220973782771535,0.6912651083730955,Advanced
33,XGBoost,S3_DemographicsOnly,Yes,0.7759593055401969,0.2523029682702149,0.4659735349716446,0.3273572377158034,0.6845905543593671,Advanced
