Rank,Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
1,Logistic Regression,S1_All_WithDuration,No,1.0,1.0,1.0,1.0,1.0
2,Logistic Regression,S1_All_WithDuration,Yes,1.0,1.0,1.0,1.0,1.0
3,Lasso (L1),S1_All_WithDuration,No,1.0,1.0,1.0,1.0,1.0
4,Lasso (L1),S1_All_WithDuration,Yes,1.0,1.0,1.0,1.0,1.0
5,Ridge (L2),S1_All_WithDuration,No,1.0,1.0,1.0,1.0,1.0
6,Ridge (L2),S1_All_WithDuration,Yes,1.0,1.0,1.0,1.0,1.0
7,Decision Tree,S1_All_WithDuration,No,1.0,1.0,1.0,1.0,1.0
8,Decision Tree,S1_All_WithDuration,Yes,1.0,1.0,1.0,1.0,1.0
9,Logistic Regression,S2_Realistic_NoDuration,No,1.0,1.0,1.0,1.0,1.0
10,Logistic Regression,S2_Realistic_NoDuration,Yes,1.0,1.0,1.0,1.0,1.0
11,Lasso (L1),S2_Realistic_NoDuration,No,1.0,1.0,1.0,1.0,1.0
12,Ridge (L2),S2_Realistic_NoDuration,No,1.0,1.0,1.0,1.0,1.0
13,Decision Tree,S2_Realistic_NoDuration,No,1.0,1.0,1.0,1.0,1.0
14,Ridge (L2),S2_Realistic_NoDuration,Yes,1.0,1.0,1.0,1.0,1.0
15,Decision Tree,S2_Realistic_NoDuration,Yes,1.0,1.0,1.0,1.0,1.0
16,Lasso (L1),S2_Realistic_NoDuration,Yes,1.0,1.0,1.0,1.0,0.9999999999999999
17,Decision Tree,S3_DemographicsOnly,No,0.8795753621585757,0.36283185840707965,0.038752362948960305,0.07002561912894961,0.6718723551839282
18,Decision Tree,S3_DemographicsOnly,Yes,0.6831803604998341,0.19893368877040987,0.5642722117202268,0.29416112342941614,0.6669829891348735
19,Lasso (L1),S3_DemographicsOnly,No,0.8828928452947031,0.0,0.0,0.0,0.6662053614231789
20,Logistic Regression,S3_DemographicsOnly,No,0.8828928452947031,0.0,0.0,0.0,0.6661274743641493
21,Ridge (L2),S3_DemographicsOnly,No,0.8828928452947031,0.0,0.0,0.0,0.6661274743641493
22,Lasso (L1),S3_DemographicsOnly,Yes,0.6273360610416897,0.1824175824175824,0.6275992438563327,0.2826734780757769,0.6642709688416254
23,Logistic Regression,S3_DemographicsOnly,Yes,0.6268937299568728,0.18221734357848518,0.6275992438563327,0.28243300723096554,0.6642361682407822
24,Ridge (L2),S3_DemographicsOnly,Yes,0.6268937299568728,0.18221734357848518,0.6275992438563327,0.28243300723096554,0.6642361682407822
25,Logistic Regression,S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.29178885630498536,0.6223318059736297
26,Ridge (L2),S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.29178885630498536,0.6223318059736297
27,Lasso (L1),S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.29178885630498536,0.6223172465385831
28,Logistic Regression,S4_PreviousOnly,Yes,0.812341037266394,0.2652461425422483,0.34120982986767484,0.29847044233154196,0.62201623317823
29,Ridge (L2),S4_PreviousOnly,Yes,0.812341037266394,0.2652461425422483,0.34120982986767484,0.29847044233154196,0.62201623317823
30,Lasso (L1),S4_PreviousOnly,Yes,0.8124516200375982,0.26544117647058824,0.34120982986767484,0.2985938792390405,0.6220116167719956
31,Decision Tree,S4_PreviousOnly,No,0.8920712153046555,0.664,0.15689981096408318,0.25382262996941896,0.6063021047261345
32,Decision Tree,S4_PreviousOnly,Yes,0.8601127944266284,0.36470588235294116,0.2637051039697543,0.30608886450905104,0.604498096028352
